Rank,Title,Description,Runtime,Genre,Rating,Metascore,Votes,Director,Actor
1,The Super Mario Bros. Movie,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom.,92,Animation,7.3,46,76174,Aaron Horvath,Chris Pratt
2,Evil Dead Rise,"A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",97,Horror,7.2,68,20483,Lee Cronin,Mirabai Pease
3,The Last Kingdom: Seven Kings Must Die,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",111,Action,7,48,16541,Edward Bazalgette,Mark Rowley
4,Ghosted,"Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.",116,Action,5.8,35,18588,Dexter Fletcher,Chris Evans
5,John Wick: Chapter 4,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",169,Action,8.2,78,131395,Chad Stahelski,Keanu Reeves
6,Beau Is Afraid,"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home.",179,Comedy,7.3,62,6126,Ari Aster,Joaquin Phoenix
7,Renfield,"Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them.",93,Comedy,6.7,53,10356,Chris McKay,Nicholas Hoult
8,Dungeons & Dragons: Honor Among Thieves,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",134,Action,7.6,72,51639,John Francis Daley,Chris Pine
9,The Pope's Exorcist,"Follow Gabriele Amorth, the Vatican's leading exorcist, as he investigates the possession of a child and uncovers a conspiracy the Vatican has tried to keep secret.",103,Horror,6.2,45,9241,Julius Avery,Russell Crowe
10,Air,"Follows the history of shoe salesman Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan.",111,Drama,7.7,73,22019,Ben Affleck,Matt Damon
11,Ant-Man and the Wasp: Quantumania,"Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?",124,Action,6.3,48,116810,Peyton Reed,Paul Rudd
12,Cocaine Bear,"An oddball group of cops, criminals, tourists and teens converge on a Georgia forest where a huge black bear goes on a murderous rampage after unintentionally ingesting cocaine.",95,Comedy,6,54,60291,Elizabeth Banks,Keri Russell
13,Barbie,To live in Barbie Land is to be a perfect being in a perfect place. Unless you have a full-on existential crisis. Or you're a Ken.,,Adventure,,,,Greta Gerwig,Margot Robbie
14,Mighty Morphin Power Rangers: Once & Always,"The Rangers come face-to-face with a familiar threat from the past. In the midst of a global crisis, they are called on once again to be the heroes the world needs.",55,Action,5.9,61,3802,Charlie Haskell,Walter Jones
15,Nefarious,"On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own.",97,Horror,6.3,,2507,Chuck Konzelman,Sean Patrick Flanery
16,The Boogeyman,Adaptation of Stephen King's 'The Boogeyman'.,,Horror,,,,Rob Savage,Sophie Thatcher
17,Shazam! Fury of the Gods,"The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.",130,Action,6.1,47,57110,David F. Sandberg,Zachary Levi
18,Tetris,"The story of how one of the world's most popular video games found its way to players around the globe. Businessman Henk Rogers and Tetris inventor Alexey Pajitnov join forces in the USSR, risking it all to bring Tetris to the masses.",118,Biography,7.4,61,36151,Jon S. Baird,Taron Egerton
19,Fast X,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,141,Action,,,,Louis Leterrier,Vin Diesel
20,The Covenant,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",123,Action,8.1,63,2941,Guy Ritchie,Jake Gyllenhaal
21,Hunger,A woman running her family's noodle restaurant receives an invitation to join the fine-dining industry under the tutelage of an infamous chef.,146,Drama,6.6,,7148,Sitisiri Mongkolsiri,Nopachai Chaiyanam
22,65,An astronaut crash lands on a mysterious planet only to discover he's not alone.,93,Action,5.5,40,35869,Scott Beck,Adam Driver
23,Operation Fortune: Ruse de Guerre,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,114,Action,6.3,51,44283,Guy Ritchie,Jason Statham
24,Peter Pan & Wendy,"Follow the adventures of a boy who does not want to grow up, and how he recruits three brothers in London, and together they embark on a magical adventure on the enchanted island of Neverland.",106,Action,,,,David Lowery,Alexander Molony
25,A Good Person,"Follows Allison, whose life falls apart following her involvement in a fatal accident.",128,Drama,7,50,4916,Zach Braff,Florence Pugh
26,The Little Mermaid,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,135,Adventure,,,,Rob Marshall,Halle Bailey
27,Quasi,"Follow a hapless hunchback who yearns for love, but finds himself in the middle of a murderous feud between the Pope and the king of France when each orders the hunchback to kill the other.",,Comedy,5.3,51,1227,Kevin Heffernan,Brian Cox
28,Guardians of the Galaxy Vol. 3,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",150,Action,,,,James Gunn,Chris Pratt
29,Murder Mystery 2,"Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja, is kidnapped at his own lavish wedding.",90,Action,5.6,44,43973,Jeremy Garelick,Adam Sandler
30,Killers of the Flower Moon,"Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s, sparking a major F.B.I. investigation involving J. Edgar Hoover.",206,Crime,,,,Martin Scorsese,Leonardo DiCaprio
31,The Marvels,"Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe.",,Action,,,,Nia DaCosta,Brie Larson
32,Scream VI,"In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.",122,Horror,7,61,48785,Matt Bettinelli-Olpin,Courteney Cox
33,Creed III,"Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight.",116,Drama,6.9,73,51577,Michael B. Jordan,Michael B. Jordan
34,Insidious: The Red Door,"The Lamberts 10 years after the last installment, as Dalton begins college.",,Horror,,,,Patrick Wilson,Ty Simpkins
35,The Last Voyage of the Demeter,"Based on a single chapter, the Captain's Log, from Bram Stoker's classic 1897 novel Dracula, the story is set aboard the Russian schooner Demeter, which was chartered to carry private cargo...                See full summary »",,Horror,,,,André Øvredal,Corey Hawkins
36,Oppenheimer,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,,Biography,,,,Christopher Nolan,Cillian Murphy
37,Kisi Ka Bhai Kisi Ki Jaan,"The eldest brother refuses to marry since he believes it may create disharmony in his big family. His brothers, who've already found partners, come together to find a match for him.",145,Action,7.2,,30668,Farhad Samji,Salman Khan
38,Les trois mousquetaires: D'Artagnan,"D'Artagnan arrives in Paris trying to find his attackers after being left for dead, which leads him to a real war where the future of France is at stake. He aligns himself with Athos, Porthos and Aramis, three musketeers of the King.",121,Action,7.1,,2681,Martin Bourboulon,François Civil
39,Infinity Pool,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.",117,Crime,6.1,72,27104,Brandon Cronenberg,Alexander Skarsgård
40,Chupa,"While visiting family in Mexico, teenage Alex gains an unlikely companion when he discovers a young chupacabra hiding in his grandpa's shed. To save the mythical creature, Alex and his cousins must embark on the adventure of a lifetime.",95,Action,5.5,48,4636,Jonás Cuarón,Demián Bichir
41,Beautiful Disaster,"College freshman, Abby, tries to distance herself from her dark past while resisting her attraction to bad boy, Travis.",105,Drama,5.3,,890,Roger Kumble,Virginia Gardner
42,Knock at the Cabin,"While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse.",100,Horror,6.1,63,67655,M. Night Shyamalan,Dave Bautista
43,Mafia Mamma,"An American mom inherits her grandfather's mafia empire in Italy. Guided by the firm's consigliere, she hilariously defies everyone's expectations as the new head of the family business.",101,Action,5.6,43,954,Catherine Hardwicke,Toni Collette
44,Winnie-the-Pooh: Blood and Honey,"After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food.",84,Horror,3.1,16,15272,Rhys Frake-Waterfield,Nikolai Leon
45,Jesus Revolution,The true story of a national spiritual awakening in the early 1970s and its origins within a community of teenage hippies in Southern California.,120,Drama,7.2,46,6449,Jon Erwin,Joel Courtney
46,The Portable Door,"Paul Carpenter is an intern at a mysterious London firm with unconventional employers, including a CEO who wants to disrupt the ancient magical world with modern corporate practices.",116,Fantasy,6,,3275,Jeffrey Walker,Christoph Waltz
47,On a Wing and a Prayer,"After their pilot dies unexpectedly mid-flight, Doug White (Dennis Quaid) has to safely land the plane and save his entire family from insurmountable danger.",102,Drama,5.6,19,2648,Sean McNamara,Dennis Quaid
48,Indiana Jones and the Dial of Destiny,The plot is unknown at this time.,142,Action,,,,James Mangold,Harrison Ford
49,"Are You There God? It's Me, Margaret.","When her family moves from the city to the suburbs, 11-year-old Margaret navigates new friends, feelings, and the beginning of adolescence.",105,Comedy,7.7,85,105,Kelly Fremon Craig,Abby Ryder Fortson
50,White Men Can't Jump,A remake of the 1992 film about a pair of basketball hustlers who team up to earn extra cash.,,Comedy,,,,Calmatic,Sinqua Walls
51,A Thousand and One,"After unapologetic and fiercely loyal Inez kidnaps her son Terry from the foster care system, mother and son set out to reclaim their sense of home, identity, and stability, in a rapidly changing New York City.",117,Crime,7.1,81,1592,A.V. Rockwell,Teyana Taylor
52,The Tutor,"Follows a tutor who, after being assigned an unexpected task at a mansion, finds himself struggling with the obsessions of his student, who threatens to expose his darkest secrets.",92,Mystery,5.1,,1350,Jordan Ross,Garrett Hedlund
53,Fenómenas,Three middle-aged women who investigate paranormal events are put to the test when their leader Father Pilón disappears. Inspired by the real Hepta Group.,94,Horror,5.3,,1427,Carlos Therón,Belén Rueda
54,One Day as a Lion,"Jackie Powers will stop at nothing to prevent his son from following him into a life of crime. With his mob employer in pursuit, a chance encounter at a roadside diner charts a new path.",87,Action,5.3,,741,John Swab,Frank Grillo
55,80 for Brady,A group of friends made it their life-long mission to go to the Super Bowl and meet NFL superstar Tom Brady.,98,Comedy,5.8,52,5934,Kyle Marvin,Lily Tomlin
56,Boston Strangler,Loretta McLaughlin was the reporter who first connected the murders and broke the story of the Boston Strangler. She and Jean Cole challenged the sexism of the early 1960s to report on the city's most notorious serial killer.,112,Crime,6.5,58,20509,Matt Ruskin,Keira Knightley
57,Plane,A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.,107,Action,6.5,62,48210,Jean-François Richet,Gerard Butler
58,Shehzada,"Bantu is hated by his father Valmiki since he was a toddler. Samara, his boss, shows him affection and love until he discovers that the Jindals are his parents. Bantu decides to seek Jindals love and protect them from threats they facing.",142,Action,4.7,,29001,Rohit Dhawan,Kartik Aaryan
59,The Flash,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.",,Action,,,,Andy Muschietti,Ben Affleck
60,Luther: The Fallen Sun,Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.,129,Crime,7.7,53,903,Jamie Payne,Idris Elba
61,Dune: Part Two,"A boy becomes the Messiah of nomads on a desert planet that has giant worms that protect a commodity called Spice. Spice changes people into travelers, mystics and madmen. What price will he pay to become the new ruler of their universe?",,Action,,,,Denis Villeneuve,Florence Pugh
